dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,64,1,12,1.0000,1.0000,0.00000,0.504,0.701,1.011,0.547,2869.9,0.0,421.1,141.4,3.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,64,2,12,1.0000,1.0000,0.00000,0.625,0.707,1.152,0.625,2869.9,0.0,421.1,141.4,3.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,64,3,12,1.0000,1.0000,0.00000,0.577,0.624,1.068,0.566,2869.9,0.0,421.1,141.4,3.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,128,1,12,1.0000,1.0000,0.00000,1.145,1.427,2.069,1.151,5570.7,0.0,780.9,313.9,5.0,11.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,128,2,12,1.0000,1.0000,0.00000,1.092,1.327,2.076,1.120,5570.7,0.0,780.9,313.9,5.0,11.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,128,3,12,1.0000,1.0000,0.00000,1.103,1.373,1.917,1.089,5570.7,0.0,780.9,313.9,5.0,11.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,256,1,12,1.0000,1.0000,0.00000,2.356,2.994,3.679,2.213,10357.8,0.0,1574.8,675.7,11.0,21.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,256,2,12,1.0000,1.0000,0.00000,2.490,3.373,3.724,2.367,10357.8,0.0,1574.8,675.7,11.0,21.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,256,3,12,1.0000,1.0000,0.00000,2.429,3.143,3.802,2.341,10357.8,0.0,1574.8,675.7,11.0,21.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,512,1,12,1.0000,1.0000,0.00000,5.593,8.399,9.479,5.687,19559.5,0.0,3246.1,1486.7,22.0,54.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,512,2,12,1.0000,1.0000,0.00000,5.381,6.786,6.968,4.914,19559.5,0.0,3246.1,1486.7,22.0,54.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,sweeping,512,3,12,1.0000,1.0000,0.00000,4.677,6.450,6.556,4.548,19559.5,0.0,3246.1,1486.7,22.0,54.0,0.0,0.0,0.0,0.0,0.00,sweeping:12
beir500k-rq1,pos10_cat00,pos10,69460,acorn,64,1,12,0.9750,0.8333,0.00075,0.263,0.893,1.244,0.530,1514.0,10.0,5496.0,65.8,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,64,2,12,0.9750,0.8333,0.00075,0.259,0.910,1.212,0.522,1514.0,10.0,5496.0,65.8,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,64,3,12,0.9750,0.8333,0.00075,0.260,0.890,1.202,0.517,1514.0,10.0,5496.0,65.8,4.0,4.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,128,1,12,1.0000,1.0000,0.00000,0.564,1.805,2.270,0.999,2551.4,10.0,8842.9,129.8,7.0,7.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,128,2,12,1.0000,1.0000,0.00000,0.606,1.906,2.126,1.011,2551.4,10.0,8842.9,129.8,7.0,7.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,128,3,12,1.0000,1.0000,0.00000,0.475,1.663,2.264,0.934,2551.4,10.0,8842.9,129.8,7.0,7.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,256,1,12,1.0000,1.0000,0.00000,1.192,3.423,3.707,1.802,4214.1,10.0,13979.9,257.5,17.0,15.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,256,2,12,1.0000,1.0000,0.00000,1.211,3.362,3.474,1.770,4214.1,10.0,13979.9,257.5,17.0,15.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,256,3,12,1.0000,1.0000,0.00000,1.089,3.637,3.646,1.798,4214.1,10.0,13979.9,257.5,17.0,15.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,512,1,12,1.0000,1.0000,0.00000,2.007,5.561,5.788,3.022,6992.8,10.0,22341.7,513.5,35.0,32.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,512,2,12,1.0000,1.0000,0.00000,2.077,5.822,6.113,3.158,6992.8,10.0,22341.7,513.5,35.0,32.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,acorn,512,3,12,1.0000,1.0000,0.00000,2.181,5.672,6.281,3.193,6992.8,10.0,22341.7,513.5,35.0,32.0,0.0,0.0,0.0,0.0,0.00,acorn:5|rre:7
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,64,1,12,1.0000,1.0000,0.00000,0.420,0.513,0.596,0.430,1596.1,0.0,1327.5,103.3,3.0,4.0,112.0,33.5,640.9,1.8,49.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,64,2,12,1.0000,1.0000,0.00000,0.368,0.449,0.517,0.378,1596.1,0.0,1327.5,103.3,3.0,4.0,112.0,33.5,640.9,1.8,49.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,64,3,12,1.0000,1.0000,0.00000,0.379,0.408,0.648,0.395,1596.1,0.0,1327.5,103.3,3.0,4.0,112.0,33.5,640.9,1.8,49.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,128,1,12,1.0000,1.0000,0.00000,0.742,0.889,1.064,0.778,2821.3,0.0,2547.8,209.8,4.0,6.0,192.0,58.5,1306.8,3.0,117.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,128,2,12,1.0000,1.0000,0.00000,0.759,0.861,1.003,0.742,2821.3,0.0,2547.8,209.8,4.0,6.0,192.0,58.5,1306.8,3.0,117.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,128,3,12,1.0000,1.0000,0.00000,0.801,0.936,1.202,0.822,2821.3,0.0,2547.8,209.8,4.0,6.0,192.0,58.5,1306.8,3.0,117.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,256,1,12,1.0000,1.0000,0.00000,1.732,1.847,2.002,1.586,4959.2,0.0,4843.1,428.4,7.0,11.0,362.7,112.9,2533.5,5.7,272.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,256,2,12,1.0000,1.0000,0.00000,1.650,1.908,2.243,1.611,4959.2,0.0,4843.1,428.4,7.0,11.0,362.7,112.9,2533.5,5.7,272.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,256,3,12,1.0000,1.0000,0.00000,1.668,1.865,2.225,1.606,4959.2,0.0,4843.1,428.4,7.0,11.0,362.7,112.9,2533.5,5.7,272.33,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,512,1,12,1.0000,1.0000,0.00000,3.243,3.717,3.724,3.018,8754.9,0.0,9496.7,892.5,12.0,29.0,730.7,239.1,5062.3,11.4,613.17,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,512,2,12,1.0000,1.0000,0.00000,3.276,3.621,3.661,2.995,8754.9,0.0,9496.7,892.5,12.0,29.0,730.7,239.1,5062.3,11.4,613.17,pathseer:12
beir500k-rq1,pos10_cat00,pos10,69460,pathseer,512,3,12,1.0000,1.0000,0.00000,3.075,3.595,3.658,2.903,8754.9,0.0,9496.7,892.5,12.0,29.0,730.7,239.1,5062.3,11.4,613.17,pathseer:12
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,64,1,22,0.9909,0.9091,0.00014,0.241,0.332,0.400,0.257,1421.6,0.0,214.4,71.7,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,64,2,22,0.9909,0.9091,0.00014,0.242,0.328,0.396,0.255,1421.6,0.0,214.4,71.7,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,64,3,22,0.9909,0.9091,0.00014,0.244,0.313,0.397,0.253,1421.6,0.0,214.4,71.7,4.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,128,1,22,1.0000,1.0000,0.00000,0.456,0.620,0.822,0.480,2494.1,0.0,366.5,143.7,6.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,128,2,22,1.0000,1.0000,0.00000,0.440,0.596,0.755,0.456,2494.1,0.0,366.5,143.7,6.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,128,3,22,1.0000,1.0000,0.00000,0.438,0.595,0.769,0.452,2494.1,0.0,366.5,143.7,6.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,256,1,22,1.0000,1.0000,0.00000,0.981,1.464,1.826,1.007,4452.7,0.0,659.5,292.4,11.0,13.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,256,2,22,1.0000,1.0000,0.00000,0.912,1.408,1.760,0.968,4452.7,0.0,659.5,292.4,11.0,13.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,256,3,22,1.0000,1.0000,0.00000,0.890,1.453,1.780,0.944,4452.7,0.0,659.5,292.4,11.0,13.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,512,1,22,1.0000,1.0000,0.00000,1.830,3.526,3.750,2.072,8051.4,0.0,1257.4,608.3,24.0,30.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,512,2,22,1.0000,1.0000,0.00000,1.638,3.017,3.346,1.915,8051.4,0.0,1257.4,608.3,24.0,30.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,sweeping,512,3,22,1.0000,1.0000,0.00000,1.723,3.123,3.430,1.922,8051.4,0.0,1257.4,608.3,24.0,30.0,0.0,0.0,0.0,0.0,0.00,sweeping:22
beir500k-rq1,pos10_cat01,pos10,50038,acorn,64,1,22,0.9909,0.9091,0.00014,0.249,0.298,0.491,0.253,1123.4,10.0,1533.3,66.3,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,64,2,22,0.9909,0.9091,0.00014,0.247,0.321,0.478,0.254,1123.4,10.0,1533.3,66.3,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,64,3,22,0.9909,0.9091,0.00014,0.257,0.302,0.487,0.263,1123.4,10.0,1533.3,66.3,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,128,1,22,1.0000,1.0000,0.00000,0.445,0.502,0.855,0.451,1868.8,10.0,2593.4,129.7,6.0,6.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,128,2,22,1.0000,1.0000,0.00000,0.417,0.499,0.817,0.424,1868.8,10.0,2593.4,129.7,6.0,6.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,128,3,22,1.0000,1.0000,0.00000,0.441,0.528,0.809,0.440,1868.8,10.0,2593.4,129.7,6.0,6.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,256,1,22,1.0000,1.0000,0.00000,0.778,0.894,1.556,0.809,3124.0,10.0,4391.3,257.2,13.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,256,2,22,1.0000,1.0000,0.00000,0.806,0.971,1.460,0.816,3124.0,10.0,4391.3,257.2,13.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,256,3,22,1.0000,1.0000,0.00000,0.946,1.187,1.667,0.960,3124.0,10.0,4391.3,257.2,13.0,12.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,512,1,22,1.0000,1.0000,0.00000,1.610,1.764,3.052,1.639,5171.3,10.0,7490.9,513.1,29.0,27.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,512,2,22,1.0000,1.0000,0.00000,1.534,1.639,2.866,1.534,5171.3,10.0,7490.9,513.1,29.0,27.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,acorn,512,3,22,1.0000,1.0000,0.00000,1.465,1.675,2.871,1.517,5171.3,10.0,7490.9,513.1,29.0,27.0,0.0,0.0,0.0,0.0,0.00,acorn:1|rre:21
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,64,1,22,0.9909,0.9091,0.00014,0.251,0.309,0.322,0.258,1356.0,0.0,451.0,69.5,2.0,2.0,78.5,49.0,60.9,1.2,3.64,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,64,2,22,0.9909,0.9091,0.00014,0.264,0.324,0.343,0.264,1356.0,0.0,451.0,69.5,2.0,2.0,78.5,49.0,60.9,1.2,3.64,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,64,3,22,0.9909,0.9091,0.00014,0.267,0.308,0.339,0.262,1356.0,0.0,451.0,69.5,2.0,2.0,78.5,49.0,60.9,1.2,3.64,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,128,1,22,1.0000,1.0000,0.00000,0.466,0.555,0.599,0.466,2309.9,0.0,852.1,138.0,3.0,3.0,151.3,94.0,139.4,2.4,8.95,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,128,2,22,1.0000,1.0000,0.00000,0.456,0.564,0.594,0.455,2309.9,0.0,852.1,138.0,3.0,3.0,151.3,94.0,139.4,2.4,8.95,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,128,3,22,1.0000,1.0000,0.00000,0.452,0.556,0.598,0.454,2309.9,0.0,852.1,138.0,3.0,3.0,151.3,94.0,139.4,2.4,8.95,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,256,1,22,1.0000,1.0000,0.00000,0.890,1.146,1.226,0.919,3923.5,0.0,1627.6,277.0,5.0,5.0,276.4,168.5,339.1,4.3,26.05,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,256,2,22,1.0000,1.0000,0.00000,0.938,1.194,1.446,0.957,3923.5,0.0,1627.6,277.0,5.0,5.0,276.4,168.5,339.1,4.3,26.05,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,256,3,22,1.0000,1.0000,0.00000,0.891,1.134,1.153,0.908,3923.5,0.0,1627.6,277.0,5.0,5.0,276.4,168.5,339.1,4.3,26.05,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,512,1,22,1.0000,1.0000,0.00000,1.704,2.206,2.308,1.748,6656.3,0.0,3230.6,562.2,10.0,10.0,567.3,321.8,793.5,8.9,72.00,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,512,2,22,1.0000,1.0000,0.00000,1.696,2.334,2.408,1.794,6656.3,0.0,3230.6,562.2,10.0,10.0,567.3,321.8,793.5,8.9,72.00,pathseer:22
beir500k-rq1,pos10_cat01,pos10,50038,pathseer,512,3,22,1.0000,1.0000,0.00000,1.815,2.340,2.398,1.840,6656.3,0.0,3230.6,562.2,10.0,10.0,567.3,321.8,793.5,8.9,72.00,pathseer:22
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,64,1,60,0.9283,0.6000,0.00147,0.331,0.545,0.979,0.373,2072.5,0.0,299.6,81.1,3.0,3.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,64,2,60,0.9283,0.6000,0.00147,0.329,0.536,0.946,0.376,2072.5,0.0,299.6,81.1,3.0,3.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,64,3,60,0.9283,0.6000,0.00147,0.333,0.546,0.898,0.374,2072.5,0.0,299.6,81.1,3.0,3.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,128,1,60,0.9633,0.7500,0.00069,0.595,1.149,1.731,0.696,3701.3,0.0,519.3,162.6,5.0,5.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,128,2,60,0.9633,0.7500,0.00069,0.609,0.977,1.898,0.696,3701.3,0.0,519.3,162.6,5.0,5.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,128,3,60,0.9633,0.7500,0.00069,0.602,0.988,1.704,0.689,3701.3,0.0,519.3,162.6,5.0,5.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,256,1,60,0.9917,0.9167,0.00012,1.126,1.997,3.333,1.320,6511.2,0.0,919.5,333.2,9.0,10.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,256,2,60,0.9917,0.9167,0.00012,1.130,1.912,3.257,1.314,6511.2,0.0,919.5,333.2,9.0,10.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,256,3,60,0.9917,0.9167,0.00012,1.152,2.040,3.430,1.347,6511.2,0.0,919.5,333.2,9.0,10.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,512,1,60,0.9983,0.9833,0.00001,2.094,3.839,5.527,2.428,10943.4,0.0,1674.4,666.5,18.0,20.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,512,2,60,0.9983,0.9833,0.00001,2.055,3.806,5.510,2.426,10943.4,0.0,1674.4,666.5,18.0,20.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,sweeping,512,3,60,0.9983,0.9833,0.00001,2.040,3.829,5.438,2.402,10943.4,0.0,1674.4,666.5,18.0,20.0,0.0,0.0,0.0,0.0,0.00,sweeping:60
beir500k-rq1,pos10_cat02,pos10,50303,acorn,64,1,60,0.9267,0.6000,0.00162,0.341,0.880,0.929,0.387,1670.5,10.0,2572.0,66.4,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,64,2,60,0.9267,0.6000,0.00162,0.324,0.796,0.889,0.365,1670.5,10.0,2572.0,66.4,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,64,3,60,0.9267,0.6000,0.00162,0.342,0.821,0.941,0.388,1670.5,10.0,2572.0,66.4,3.0,3.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,128,1,60,0.9633,0.7500,0.00081,0.569,1.384,1.608,0.643,2896.2,10.0,4312.8,130.2,5.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,128,2,60,0.9633,0.7500,0.00081,0.593,1.348,1.580,0.663,2896.2,10.0,4312.8,130.2,5.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,128,3,60,0.9633,0.7500,0.00081,0.593,1.404,1.632,0.666,2896.2,10.0,4312.8,130.2,5.0,5.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,256,1,60,0.9900,0.9000,0.00016,1.203,2.441,3.003,1.324,4875.2,10.0,7226.1,257.6,10.0,9.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,256,2,60,0.9900,0.9000,0.00016,1.177,2.719,2.835,1.322,4875.2,10.0,7226.1,257.6,10.0,9.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,256,3,60,0.9900,0.9000,0.00016,1.054,2.461,2.673,1.171,4875.2,10.0,7226.1,257.6,10.0,9.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,512,1,60,0.9967,0.9667,0.00004,2.008,4.064,4.533,2.159,7881.0,10.0,11591.9,513.4,18.0,18.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,512,2,60,0.9967,0.9667,0.00004,1.921,4.103,4.537,2.097,7881.0,10.0,11591.9,513.4,18.0,18.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,acorn,512,3,60,0.9967,0.9667,0.00004,2.003,4.597,4.759,2.321,7881.0,10.0,11591.9,513.4,18.0,18.0,0.0,0.0,0.0,0.0,0.00,acorn:6|rre:54
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,64,1,60,0.9267,0.5833,0.00162,0.363,0.481,0.485,0.380,1826.7,0.0,576.8,72.5,2.0,2.0,82.1,48.9,111.3,1.3,2.97,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,64,2,60,0.9267,0.5833,0.00162,0.364,0.472,0.513,0.369,1826.7,0.0,576.8,72.5,2.0,2.0,82.1,48.9,111.3,1.3,2.97,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,64,3,60,0.9267,0.5833,0.00162,0.369,0.468,0.485,0.381,1826.7,0.0,576.8,72.5,2.0,2.0,82.1,48.9,111.3,1.3,2.97,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,128,1,60,0.9633,0.7500,0.00069,0.681,0.880,0.913,0.698,3191.5,0.0,1023.0,140.2,3.0,3.0,148.3,85.4,209.8,2.3,8.00,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,128,2,60,0.9633,0.7500,0.00069,0.644,0.826,0.897,0.658,3191.5,0.0,1023.0,140.2,3.0,3.0,148.3,85.4,209.8,2.3,8.00,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,128,3,60,0.9633,0.7500,0.00069,0.615,0.772,0.991,0.623,3191.5,0.0,1023.0,140.2,3.0,3.0,148.3,85.4,209.8,2.3,8.00,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,256,1,60,0.9900,0.9000,0.00015,1.159,1.539,1.612,1.182,5471.0,0.0,1852.8,277.7,5.0,5.0,264.5,159.5,389.9,4.1,19.30,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,256,2,60,0.9900,0.9000,0.00015,1.154,1.454,1.530,1.170,5471.0,0.0,1852.8,277.7,5.0,5.0,264.5,159.5,389.9,4.1,19.30,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,256,3,60,0.9900,0.9000,0.00015,1.146,1.480,1.548,1.181,5471.0,0.0,1852.8,277.7,5.0,5.0,264.5,159.5,389.9,4.1,19.30,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,512,1,60,0.9967,0.9667,0.00004,2.106,2.700,3.214,2.169,9035.1,0.0,3510.5,558.0,8.0,9.0,503.5,302.0,805.1,7.9,43.08,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,512,2,60,0.9967,0.9667,0.00004,2.170,2.656,3.193,2.192,9035.1,0.0,3510.5,558.0,8.0,9.0,503.5,302.0,805.1,7.9,43.08,pathseer:60
beir500k-rq1,pos10_cat02,pos10,50303,pathseer,512,3,60,0.9967,0.9667,0.00004,2.074,2.595,3.258,2.173,9035.1,0.0,3510.5,558.0,8.0,9.0,503.5,302.0,805.1,7.9,43.08,pathseer:60
beir500k-rq1,pos10_cat03,pos10,65848,sweeping,64,1,55,0.9818,0.8727,0.00043,0.346,0.742,1.109,0.410,2069.1,0.0,350.8,88.9,3.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:55
beir500k-rq1,pos10_cat03,pos10,65848,sweeping,64,2,55,0.9818,0.8727,0.00043,0.334,0.695,0.984,0.389,2069.1,0.0,350.8,88.9,3.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:55
beir500k-rq1,pos10_cat03,pos10,65848,sweeping,64,3,55,0.9818,0.8727,0.00043,0.332,0.733,1.016,0.386,2069.1,0.0,350.8,88.9,3.0,4.0,0.0,0.0,0.0,0.0,0.00,sweeping:55
beir500k-rq1,pos10_cat03,pos10,65848,sweeping,128,1,55,0.9891,0.9091,0.00033,0.620,1.569,1.918,0.735,3681.5,0.0,555.5,173.4,5.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:55
beir500k-rq1,pos10_cat03,pos10,65848,sweeping,128,2,55,0.9891,0.9091,0.00033,0.637,1.561,1.946,0.741,3681.5,0.0,555.5,173.4,5.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:55
beir500k-rq1,pos10_cat03,pos10,65848,sweeping,128,3,55,0.9891,0.9091,0.00033,0.718,1.478,1.901,0.810,3681.5,0.0,555.5,173.4,5.0,6.0,0.0,0.0,0.0,0.0,0.00,sweeping:55
beir500k-rq1,pos10_cat03,pos10,65848,sweeping,256,1,55,0.9945,0.9455,0.00013,1.300,3.088,3.596,1.488,6475.0,0.0,933.3,341.6,9.0,11.0,0.0,0.0,0.0,0.0,0.00,sweeping:55
